SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,0.766126609,45,2,0.802982129,9120,13,0,6,0,2
1,0.964672555,40,3,0.382964747,13700,9,3,1,1,2
1,0.025655677,38,0,0.475841386,3000,7,0,1,0,2
1,0.392248482,50,0,1.595253368,4676,14,0,3,0,1
1,0.728150491,31,0,0.824725092,3000,10,0,2,0,1
1,0.13306279,49,1,0.182881653,10257,9,0,2,0,3
1,0.734477501,45,0,0.591477634,4716,13,0,2,0,2
1,1.046279103,47,1,1.104301274,5416,6,0,2,0,1
1,0.946963874,35,0,1593,6670.221237392844,6,0,1,0,1
1,0.085338293,51,0,0.477503628,6200,11,0,1,0,0
1,0,25,0,0.152896812,2916,3,0,0,1,0
1,0.786485406,44,0,0.291709578,3883,7,2,0,2,1
1,0.025892469,38,0,74.5,1,13,0,0,0,2
1,0.655316473,63,0,5223,6670.221237392844,19,0,2,0,0
1,1.953488372,38,0,0.153500141,3556,5,0,0,0,2
1,0.973339258,61,1,0.209961825,5500,11,0,0,1,1
1,1.048210842,58,7,0.151956584,3500,12,0,0,0,0
1,0.220823719,46,1,0.637749121,1705,5,0,0,0,0
1,0.03719769,47,0,0.03975841,25000,11,0,1,0,3
1,0.880370887,43,0,0.461323764,7523,6,0,1,0,1
1,0.635720859,68,1,0.218071277,25000,27,0,3,0,0
1,0.953343701,48,2,2073,6670.221237392844,5,1,2,2,0
1,0.739146488,63,1,0.285156885,6150,12,0,0,0,1
1,0.802417179,58,1,668,6670.221237392844,5,1,0,0,0
1,0.733885463,49,2,0.369223765,8785,20,0,2,0,2
1,0.991502124,61,10,1.2979007,3000,11,2,3,5,1
1,0.9999999,32,0,0.006731051,3416,1,0,0,0,3
1,0.57985084,42,0,0.594224361,2700,8,0,0,0,0
1,0.9999999,54,0,0.228402866,2372,2,0,0,1,0
1,0.913140498,37,2,1.620344914,4000,16,0,3,0,1
1,0.814154511,50,1,0.297139683,3600,8,0,1,1,1
1,0.640058527,39,0,0.055984556,9841,9,0,0,0,2
1,0.955545894,52,1,0.524949909,10480,11,0,3,0,1
1,0.339503567,89,1,0.549380248,2500,9,3,0,1,0
1,0.517045364,61,0,0.572590321,7500,20,0,2,0,0
1,0.387065977,51,0,0.350874186,5833,12,0,1,2,1
1,0.402345742,37,0,0.337622356,12667,16,0,2,0,3
1,0.314685703,51,3,0.160317928,16984,13,0,2,1,4
1,0.149314411,36,0,0.558320373,4500,9,0,3,0,0
1,1.248751249,33,0,0.175120326,2700,3,2,0,0,0
1,0.990764426,36,2,0.361340457,4117,4,0,0,0,1
1,2066,58,0,0.27112148,6000,8,1,1,0,1
1,0.987668722,39,5,0.691279186,5010,14,0,2,0,2
1,0.02331266,58,0,0.632371083,4052,13,1,2,0,0
1,0,32,0,0.44187375,3500,5,0,1,0,2
1,1.008506531,58,3,3265,6670.221237392844,20,0,0,1,0
1,1.25748503,26,0,0.129805014,1794,1,2,0,1,0
1,0.962946947,50,0,0.68127587,4106,8,0,1,1,0
1,0,44,0,6046,6670.221237392844,9,0,3,0,0
1,0.71976008,47,0,64,6670.221237392844,2,2,0,0,0
1,0.778719498,81,0,0.53801306,4287,11,0,2,0,0
1,1.362141746,73,1,274,6670.221237392844,2,3,0,1,0.7572222678605657
1,0.514353049,39,0,0.984408835,2308,15,0,1,0,1
1,0.913773615,55,2,0.881655429,4300,17,0,2,0,1
1,1.004421666,48,3,0.605098725,4000,10,0,2,0,1
1,0.878245498,40,0,0.18141723,3400,5,0,0,0,1
1,0.228742911,38,2,3558,6670.221237392844,19,0,3,0,2
1,0.017558727,47,0,0.53540175,2513,10,1,1,0,0
1,0.546513871,35,0,0.93824256,8500,17,0,4,0,2
1,0.829560586,34,1,0.248187953,4000,6,0,1,0,2
1,0.232226657,59,6,6.094452774,2000,16,2,1,2,1
1,0.00073798,41,0,0.493126718,4000,4,0,1,0,2
1,0.9999999,41,0,219,6670.221237392844,1,2,0,1,0.7572222678605657
1,0.954449046,55,5,773,6670.221237392844,7,1,0,3,0
1,0.81054584,57,2,1.141452126,3456,29,0,1,1,1
1,0.902797114,45,3,2788,6670.221237392844,8,2,1,2,0
1,0.9999999,71,1,0.313816494,2800,2,0,1,1,0
1,0.087649402,27,0,0.009995457,2200,2,0,0,1,1
1,0,36,0,0.157678245,4375,7,0,0,0,2
1,0.9999999,60,1,0.540617473,4566,2,0,1,1,0
1,0.887080965,45,0,0.482275525,4710,4,0,1,1,2
1,0.767840152,74,3,0.2964495,2900,4,1,0,1,0
1,0.041191762,31,0,0.261369315,2000,3,0,0,0,0
1,0.965034965,35,0,0.062791628,7500,2,0,1,1,2
1,1.0085156,59,1,2.219737309,5633,23,0,4,0,0
1,0.9999999,34,0,0.254256527,6166,5,1,1,1,2
1,0.9999999,30,0,0.015108425,5625,2,0,0,0,1
1,0.983078225,42,0,0.884470118,4500,17,0,2,0,2
1,0.972150876,59,0,1.473797947,1850,12,0,2,0,0
1,0.617025827,26,0,0.160912815,3417,5,0,0,0,0
1,0.409985282,69,1,0.279980823,14600,15,0,2,0,0
1,0.82644118,38,0,0.6536804,5800,9,0,1,0,2
1,0,67,0,0.345825195,16383,20,0,3,0,1
1,0,41,1,0.526684164,8000,4,1,2,1,1
1,0.702381432,54,0,0.866732547,14166,21,0,6,0,3
1,1.083405734,55,3,0.490218316,3526,10,0,1,1,1
1,0.9999999,42,0,31,6670.221237392844,0,2,0,0,0
1,0.602746575,42,0,0.260608705,9166,4,0,0,0,1
1,0.9999999,35,1,0.900911497,3400,6,0,2,0,0
1,0.983338887,27,0,0.106808245,1600,9,0,0,0,0
1,0.922505535,45,0,0.501614046,12700,11,0,4,0,1
1,0.9999999,50,1,1305,6670.221237392844,2,0,1,0,0
1,0.9999999,52,0,0.237812128,6727,2,4,0,1,1
1,0.537417139,38,1,2748,6670.221237392844,5,3,1,3,0
1,0.9999999,27,98,0,2700,0,98,0,98,0
1,0.197701607,55,1,0.258874113,10000,7,0,2,1,1
1,0.768820786,25,1,0.569584736,1781,6,0,0,0,0
1,0.9999999,70,1,520,6670.221237392844,3,0,1,1,0
1,0.978808477,47,1,0.428419088,3750,5,4,0,0,1
1,1.050951924,61,3,0.801221544,1800,7,3,2,0,0
1,0.9999999,39,0,0.041420118,3041,2,1,0,0,3
1,0.9999999,79,0,190,6670.221237392844,0,0,0,0,0
1,0.9999999,64,1,0.967923863,2836,6,0,1,0,2
1,0.924601885,43,1,0.367097806,6880,4,0,0,0,1
1,0.9999999,55,0,0.025398541,3700,1,2,0,1,0
1,0.955200471,44,0,2277,6670.221237392844,10,0,1,0,0
1,1.000782541,49,1,0.642629905,6600,9,0,1,1,0
1,0.9999999,46,0,117,6670.221237392844,2,0,0,0,0
